timestamp,M(m/s),D(deg)
2002-12-31,6.6136986301369864,242.88613600187423
2003-12-31,6.606541095890411,230.3715885240642
2004-12-31,6.585667122040073,250.3934113741298
2005-12-31,6.849623287671233,141.76417640613397
2006-12-31,6.826780821917808,204.39727848117587
2007-12-31,6.484657534246575,98.95525698808912
2008-12-31,6.669376138433516,277.8159088249779
2009-12-31,6.919657534246575,256.1796166752435
2010-12-31,7.057796803652969,187.57179863891307
2011-12-31,6.363321917808219,159.4459947506428
2012-12-31,6.482103825136613,260.8029649904505
2013-12-31,7.181917808219178,249.0392562986305
2014-12-31,6.998253424657534,253.88763685341775
2015-12-31,6.621963470319635,213.468019798224
2016-12-31,6.795081967213115,236.77978090623225
2017-12-31,6.51958904109589,248.08407026572024
2018-12-31,6.688972602739726,267.4263886868559
2019-12-31,6.9859474885844755,268.51492158847833
2020-12-31,6.673542805100182,243.85537610206018
2021-12-31,6.733607305936073,266.16035420304263
2022-12-31,6.671027397260274,213.39475201651393
2023-12-31,8.584375000000001,246.79192636807755
